1166
220, 347, 0, 0
220, 347, 0, 0
220, 347, 0, 0
220, 347, 0, 0
220, 347, 0, 0
205, 347, 15, 0
196, 347, 24, 0
196, 347, 24, 0
196, 347, 24, 0
0, 6, 220, 341
196, 347, 24, 0
0, 1, 220, 346
196, 347, 24, 0
196, 347, 24, 0
0, 0, 220, 347
217, 347, 3, 0
217, 347, 3, 0
0, 2, 220, 345
0, 0, 220, 347
0, 2, 220, 345
0, 0, 220, 347
217, 347, 3, 0
11, 0, 209, 347
0, 0, 220, 347
11, 0, 209, 347
0, 0, 220, 347
11, 0, 209, 347
0, 0, 220, 347
217, 347, 3, 0
0, 5, 220, 342
0, 0, 220, 347
0, 5, 220, 342
0, 0, 220, 347
0, 5, 220, 342
0, 5, 220, 342
0, 0, 220, 347
0, 5, 220, 342
0, 0, 220, 347
217, 347, 3, 0
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
0, 0, 220, 347
3, 6, 217, 341
0, 3, 220, 344
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
0, 0, 220, 347
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
2, 1, 218, 346
3, 6, 217, 341
1, 5, 219, 342
3, 6, 217, 341
0, 2, 220, 345
3, 6, 217, 341
1, 3, 219, 344
3, 6, 217, 341
0, 1, 220, 346
3, 5, 217, 342
3, 6, 217, 341
3, 6, 217, 341
3, 0, 217, 347
3, 6, 217, 341
1, 0, 219, 347
3, 6, 217, 341
1, 0, 219, 347
3, 6, 217, 341
2, 6, 218, 341
3, 6, 217, 341
2, 6, 218, 341
3, 6, 217, 341
2, 0, 218, 347
3, 6, 217, 341
0, 1, 220, 346
3, 6, 217, 341
0, 0, 220, 347
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
2, 0, 218, 347
1, 6, 219, 341
0, 0, 220, 347
1, 6, 219, 341
3, 6, 217, 341
0, 0, 220, 347
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
2, 0, 218, 347
1, 6, 219, 341
3, 6, 217, 341
3, 6, 217, 341
3, 6, 217, 341
1, 0, 219, 347
